 Date, Latitude, Longitude, Zonal_Winds, Meridional_Winds, Humidity, Air_Temp, Sea_Surface_Temp
970101,0.07,-110.01,-3.1,1.4,89.6,22.66,22.73
970101,0.01,-140.02,-7.4,-0.6,80.4,24.47,24.91
970101,-0.01,-155.02,-6.8,-1.3,79.7,25.6,25.93
970101,0,156.15,7.3,-0.9,79.9,27.56,29.52
970101,-0.04,165.11,2.4,0.1,78.9,28.07,29.92
970101,-0.02,-170.03,-5.3,-3.5,72.4,26.69,27.47
970101,0,-179.9,-4.4,-4.1,75.9,27.67,28.45
970101,1.98,-125.06,-3.5,2.5,89.6,22.92,23.06
970101,1.98,-154.97,-6.9,-0.1,76.9,25.88,26.49
970101,2.03,156.01,4.1,0.8,83.6,27.97,29.64
970101,1.99,164.98,-2.9,-1.4,75,28.56,29.92
970101,1.99,-169.94,-5.7,-1.8,76.3,27.59,27.75
970101,2.01,-179.79,-5.3,-2.2,75.2,28.34,28.89
970101,1.97,-95,-1.5,6.7,88.4,23.89,25.5
970101,-2.01,-139.96,-7.7,-0.7,78.4,25.23,25.54
970101,-1.98,-155.02,-6.7,-2,80.1,26.4,26.45
970101,-2,156,6.1,-3.1,79.3,27.61,29.43
970101,-1.93,164.35,6.2,0.5,82.5,28.49,29.76
970101,-2.15,-170.03,-3.3,-5.8,79.2,27.42,28.14
970101,-2.01,-179.98,-0.4,-4,80.7,27.28,28.59
970101,-1.98,-95.03,-2.4,1.5,97.4,22.21,22.02
970101,4.91,-139.84,-6.5,3.4,80.5,26.21,26.99
970101,4.99,-154.93,-6.5,2.3,77.5,26.73,27.49
970101,5,156.07,-0.6,0.1,75.3,28.94,29.84
970101,5.05,164.99,-3,-2,77.4,28.47,29.7
970101,5.09,-94.89,0.4,5.3,96.4,24.24,26.59
970101,-4.99,-110.03,-4.8,0.6,83.6,23.25,24.28
970101,-4.99,-139.91,-7.2,-2,76,26.28,26.88
970101,-4.99,-154.99,-5.8,-4.4,78.3,26.76,26.76
970101,-5.01,156.01,2.8,-1.4,83.4,27.36,29.67
970101,-4.99,-169.99,-1.8,-7.3,76.9,28,28.42
970101,-5.02,-179.89,5.7,-0.5,83.6,27.45,29.22
970101,-5.01,-95.08,-5.4,1.9,84.5,22.92,23.48
970101,8.03,-125,-4.8,-5.3,78.9,26.12,26.77
970101,7.95,-154.98,-2.4,0.6,87.4,25.74,28.03
970101,8.01,-170.04,-2.6,-1.1,81.1,27.47,28.88
970101,7.99,-179.81,-4.1,-1,83,27.76,29.09
970101,-8.06,-109.93,-4.4,0.9,75.6,24.59,24.52
970101,-7.97,-125.02,-5.4,-1,79.4,25.72,26.25
970101,-8.28,-154.97,-4.7,-5.2,73.2,28.03,28.16
970101,-8.02,-95.09,-5.6,1.9,86.3,23.06,23.23
970101,9,-140.27,-6.8,-1.5,88.2,25.81,27.12
970102,0.07,-110.01,-2.8,3,86.8,22.46,22.67
970102,0.01,-140.01,-7.5,-1.7,77.2,24.34,24.8
970102,-0.01,-155.02,-6.1,-2.2,81.3,25.48,25.86
970102,0,156.15,5.7,-1.3,74.5,28.98,29.57
970102,-0.04,165.11,1.7,-4.2,79.7,28.34,29.87
970102,-0.03,-170.03,-5.3,-1.9,71.9,26.81,27.51
970102,0.01,-179.9,-4.9,-3.8,76.3,27.58,28.29
970102,1.98,-125.08,-2.8,2,88.8,22.77,23.34
970102,1.98,-154.97,-7,-1.5,76.5,26,26.37
970102,2.02,156.01,2.9,-1.7,79.3,28.98,29.9
970102,2,164.99,-5.3,1,75,28.6,29.84
970102,1.99,-169.93,-5.7,-0.3,79.7,27.63,27.75
970102,2.01,-179.8,-5.2,-1.6,74,28.42,28.91
970102,1.97,-95,-2.5,6.9,84.7,24.31,25.58
970102,-2.01,-139.95,-7.2,-2.7,73.5,25.04,25.19
970102,-1.97,-155.02,-6.3,-2.1,80.1,26.4,26.48
970102,-2,156,6.3,-1.3,75.8,28.85,29.56
970102,-1.93,164.35,3,0,87.4,26.8,29.56
970102,-2.16,-170.03,-4.1,-4.2,76.6,27.38,28.11
970102,-2.01,-179.99,-2.1,-5,79.1,27.8,28.61
970102,-1.98,-95.02,-3.4,2.4,96.6,22.37,22.12
970102,4.9,-139.85,-5.6,0.9,80.5,26.02,27.01
970102,5,-154.94,-7.6,0.4,79.1,26.69,27.54
970102,5,156.07,-0.1,-1,74.6,29.1,30.02
970102,5.05,165,-2.1,-5.5,72.9,28.71,29.7
970102,5.09,-94.89,0.2,7.7,90.2,24.94,26.33
970102,-4.99,-110.02,-4.7,1,84,23.09,24.31
970102,-4.99,-139.91,-6.3,-4,74.8,25.85,26.85
970102,-4.98,-154.99,-5.1,-3.1,78.7,26.84,26.86
970102,-5.01,156.01,6.4,0.5,76.2,29.02,29.59
970102,-4.99,-169.99,-1,-6.1,72.1,27.88,28.36
970102,-5.02,-179.89,5.8,-1.1,82.8,27.33,29.09
970102,-5,-95.08,-4.9,4,82.8,22.92,23.48
970102,8.02,-124.99,-5.1,-5.5,77.2,26.32,26.73
970102,7.95,-154.99,-4.1,-0.2,87,26.38,28.02
970102,8.01,-170.04,-3.1,1.1,83.3,27.62,28.91
970102,7.99,-179.81,-4.2,-3.4,81,28.32,29.06
970102,-8.06,-109.93,-4.3,-1,78.2,24.44,24.68
970102,-7.97,-125.01,-2.9,-3.4,78.2,25.41,26.36
970102,-8.27,-154.96,-2.5,-5,70.9,27.91,28.32
970102,-8.02,-170.03,4.1,-6.6,72.2,28.64,29.31
970102,-8.02,-95.09,-5.4,3.1,84.1,22.95,23.28
970102,9,-140.28,-7,-5.6,80.5,26,27.05
970103,0.07,-110.01,-5.2,3.3,85.2,22.14,22.27
970103,0,-140.02,-6.6,-0.9,75.8,24.22,24.74
970103,-0.01,-155.02,-6.5,-1.1,78.5,25.48,25.86
970103,0,156.15,3.2,0.4,78.2,27.28,29.55
970103,-0.04,165.12,6.4,1,84.4,26.77,29.71
970103,-0.02,-170.03,-4.9,-0.3,70.7,26.97,27.66
970103,0.01,-179.9,-5,-1.5,74.7,27.42,28.26
970103,1.98,-125.08,-4.2,2.4,88.4,22.88,23.13
970103,1.99,-154.97,-7.5,0.4,75.2,25.72,26.32
970103,2.03,156.01,0.5,0.4,81.4,28.55,29.91
970103,1.99,164.98,-3.7,1.2,70.9,28.6,29.66
970103,1.99,-169.94,-4.5,2,79.7,27.55,27.78
970103,2.01,-179.8,-5.3,0.4,74,28.34,28.98
970103,1.97,-95,-2.1,6.4,82.7,24.19,25.57
970103,-2.02,-139.96,-6.8,-2.9,71.4,24.84,24.99
970103,-1.97,-155.03,-6.6,0,78.9,26.13,26.48
970103,-2,156,3.3,-3.4,77.7,27.16,29.47
970103,-1.92,164.35,8.6,-0.1,82.5,27.98,29.61
970103,-2.16,-170.02,-3.1,-2,77.4,27.27,28.14
970103,-2.01,-179.98,-3.2,-3.8,77,27.88,28.7
970103,-1.98,-95.01,-3.1,3,94.7,22.33,22.06
970103,4.91,-139.85,-5.3,3.2,84.9,25.78,26.98
970103,5,-154.93,-6.8,2.7,77.9,26.58,27.32
970103,5,156.07,-3.6,0.2,74.2,29.21,29.93
970103,5.05,165,-2.3,-3.3,71.7,28.78,29.64
970103,5.09,-94.9,3.6,3.5,93.5,24.13,26.18
970103,-4.99,-110.02,-6.3,1.6,82.5,23.17,24.2
970103,-4.99,-139.91,-4.9,-4.3,73.6,25.58,26.7
970103,-4.98,-154.99,-4.7,-3.2,76.6,26.64,26.92
970103,-5.01,156.01,1.9,-3.9,81.1,28.6,29.6
970103,-4.99,-169.99,0.2,-5.1,71.7,27.68,28.38
970103,-5.02,-179.89,4.4,0.4,79.9,28.32,29.19
970103,-5.01,-95.08,-4.9,5,74.5,23.04,23.33
970103,8.02,-125.01,-4.7,-6,76,26,26.65
970103,7.96,-154.99,-4.2,0,87.8,26.66,28.08
970103,8.01,-170.04,-1.7,0.7,76.6,28.32,28.95
970103,7.99,-179.81,-3.8,-3.5,83,28.04,29.13
970103,-8.06,-109.93,-5.7,0.5,79.6,24.59,24.75
970103,-7.96,-125.05,-3.4,-4.1,76.5,25.25,26.34
970103,-8.28,-154.98,-2.3,-3.9,69,27.87,28.58
970103,-8.02,-170.02,4.6,-5.9,74.2,28.44,29.36
970103,-8.03,-95.09,-5.5,4.9,77.1,22.87,23.32
970104,0.07,-110.01,-5.7,1.6,86.8,22.18,22.41
970104,0,-140.01,-7.1,0.5,74.6,24.55,24.72
970104,0,-155.01,-5.3,-0.9,75.7,25.24,25.89
970104,0,156.15,4.1,-3.8,73.7,28.98,29.58
970104,-0.04,165.11,2.5,-5.1,77,28.42,29.66
970104,-0.03,-170.03,-4.5,-1.6,71.9,26.89,27.7
970104,0,-179.9,-3.5,-2.4,72.3,27.38,28.29
970104,1.98,-125.07,-5.9,2.8,87.3,22.96,22.92
970104,1.99,-154.96,-5.4,0.7,74,25.49,26.25
970104,2.02,156.01,1.1,-3.4,77.4,29.17,29.95
970104,2,164.99,-1.8,4.1,69.7,28.88,29.68
970104,1.99,-169.93,-4,0.2,80.4,27.55,27.83
970104,2.01,-179.8,-4.4,-0.3,69,28.1,28.88
970104,1.98,-95.01,-1.9,4.1,81.5,23.77,25.31
970104,-2.02,-139.95,-7.2,-3.1,73.1,24.88,25.16
970104,-1.97,-155.02,-4.5,-1.6,76.5,26.01,26.71
970104,-2,156,6.1,-4.5,78.1,29.05,29.49
970104,-1.92,164.35,5.4,-4.7,79.1,29.24,29.6
970104,-2.16,-170.03,-3.7,-3.5,77.7,27.31,28.17
970104,-2.01,-179.99,-1.4,-3.1,81.6,26.88,28.42
970104,-1.98,-95.03,-4.4,2.2,90,22.17,21.88
970104,4.92,-139.84,-5.7,4.3,84.1,26.13,26.96
970104,5,-154.92,-4.5,3.7,79.9,26.5,27.23
970104,5.01,156.07,-2.3,-2.6,72.3,29.29,29.89
970104,5.05,164.99,-2.4,-3.8,74.1,28.94,29.67
970104,5.09,-94.9,2.2,2,90.6,24.67,26.45
970104,-4.99,-110.02,-7.6,2.2,83.2,23.4,24.13
970104,-4.99,-139.91,-5.6,-3.5,74.8,25.58,25.98
970104,-4.98,-154.99,-3.9,-1.9,73.7,26.52,27.01
970104,-5.01,156.01,6.8,-4.1,81.9,29.18,29.67
970104,-4.99,-169.99,-1.2,-6,74.1,27.76,28.54
970104,-5.02,-179.89,6.2,3.9,82,27.49,29.21
970104,-5.01,-95.08,-5.7,2.7,71.5,22.64,23.16
970104,8.03,-125.01,-3.4,-3.8,80.5,25.81,26.64
970104,7.95,-154.99,-1.1,4,88.6,26.58,28.03
970104,8.01,-170.04,-1.5,-5.2,79.6,28.36,29.11
970104,7.99,-179.82,-2.2,-3.6,91.8,26.47,29.1
970104,-8.06,-109.93,-7.9,2.1,79.6,24.95,24.72
970104,-7.97,-125.02,-5,-4,78.2,25.44,26.33
970104,-8.28,-154.97,-1.6,-3.6,69,27.87,28.79
970104,-7.99,-170.02,4.4,-4.8,84.8,26.87,29.32
970104,-8.03,-95.1,-6.4,3.6,73.4,22.91,23.3
970105,0.07,-110.01,-5.1,1.5,83.6,22.34,22.46
970105,0,-140.02,-5.7,0.4,80.4,24.39,24.6
970105,-0.01,-155.01,-5.3,-1.3,73.6,25.32,25.88
970105,0,156.15,2.8,-4.1,73.2,29.1,29.55
970105,-0.04,165.11,1.1,-3.2,79.7,28.03,29.81
970105,-0.02,-170.03,-3.5,-0.3,73.2,27.09,27.89
970105,0.01,-179.91,-2.7,-2.5,70.7,27.34,28.37
970105,1.97,-125.09,-6.7,1.5,84.9,22.92,22.89
970105,1.99,-154.96,-5.9,0.1,75.6,25.64,26.29
970105,2.02,156.01,1.1,-4.8,77.1,29.44,29.87
970105,1.99,164.98,3.2,4.7,73,28.8,29.72
